Vaidoso,Oxum
Iniciador,Elegbara
Criatividade,Iansa
Estetica,Ewa
Falsidade,Oxum
Honestidade,Oba
Realista,Oxossi
Sonhador,Oxala
Ambicao(Conquista),Ogum
Estruturado/Organizado,Oxossi
Idealista,Oxala
Hipocondriaco,Obaluaie
Pessimista,Obaluaie
Rainha/Rei,Xango
Sarcastico,Elegbara
Brincalhao,Elegbara
Serio,Obaluaie
Maternal(cuidar),Yemanja
Protectivo,Ogum
Versatil,Oxumare
Grandioso,Xango
Extrovertido,Iansa
Introvertido,Ossaim
Desapegado,Ewa
Vingativo,Nana
Temperamental,Iansa
Servical,Nana
Tolerante,Oxala
Acolhedora(adoptar),Yemanja
Sedutora,Oxum
Sensual,Iansa
Sexual,Elegbara
Charmoso,Yemanja
Dondoca(Tiazorra),Yemanja
Perfeccionista,Oxossi
Critico,Xango
Arrumado(lar),Yemanja
Cozinheiro,Yemanja
Arrumado(limpeza),Nana
Preserverante,Ogum
Focado(Direccao),Oxumare
Determinado,Oxum
Hospitaleiro,Yemanja
Minucioso,Oxala
Danca,Iansa
Musica,Ewa
Literatura,Oxossi
Negociante,Elegbara
Comunicador,Elegbara
Orador,Iansa
Desportista,Ogum
Eloquente,Xango
Tecnologico,Ogum
Memoria,Oxala
Lutador,Ogum
Jogo de cintura,Oxum
Sexualidade(mente aberta),Oxumare
Progressista,Oxumare
Mudancas radicais,Oxumare
Duplicidade,Oxumare
Exibicionista,Oxumare
Ambição de ter poder,Xango
Lider,Ogum
Encantador,Ossaim
Compreensivo,Oba
Razinza,Nana
Comilao,Tempo
Guloso,Xango
Exagerado,Xango
Manipulador,Elegbara
Reclamar,Iansa
Vitima,Oxum
Fofoqueira,Yemanja
Caprichosa,Oxum
Preguicoso,Tempo
Viver acima das posses,Yemanja
Teimoso,Oxala
Analitico,Ogum
Dissimulado,Oxum
Secretista,Oxum
Lealdade,Ogum
Rancoroso,Yemanja
Enigmatico(misterioso),Ossaim
Oportunista,Oxumare
Ciumento,Iansa
Imparcial,Oba
Paternalista,Oxala
Responsavel,Nana
Infantilidade,Oxala
Credula,Oba
Observador,Oxossi
Controverso,Iansa
Cinema,Ifa
Liberdade(nomada),Ifa
Intriguista,Elegbara
Intelectual(filosofico),Oxala
Esperteza,Elegbara
Estudioso,Oxossi
Frontalidade,Iansa
Moralista,Nana
Rotina,Nana
Educador,Nana
Simplicidade,Ifa
Inspirador,Ifa
Impulsivo,Iansa
Efeito Calmante,Tempo
Calmo,Oxossi
Pacifista,Oxala
Passivo(sem confronto),Obaluaie
Estratega,Ogum
Calculista,Ogum
Solitario,Ossaim
Volatil,Ewa
Ingenuidade,Ewa
Possessivo,Yemanja
Inveja,Oxum
Inconfidente,Tempo
Pesquisador,Tempo
Ponderado,Tempo
Desleixado,Tempo
Trabalhador,Oba
Valoroso,Oba
Lutador(de causas perdidas),Oba
Amores platonicos,Oba
Mulher macho,Oba
Feminista,Oba
Intuitivo,Ifa
Espalhafatoso,Iansa
Desconectado,Oxala
Carismatico,Iansa
Cativante,Oxossi
Autoritario,Xango
Irritavel,Xango
Renovacao,Obaluaie
Imaturidade,Ewa
Machista,Xango
Generoso,Oba
Bondoso,Oba
Influenciavel,Ewa
Futurista,Oxala
